"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"New York","NY","New York","Queens",1,1925,1925,1850,1950,2000,2000,2025,2100,2085,2200,2137,2000,2100,2100,2100,2100,2150,2195,2195,2150,2100,2095,2095,2100,2100,2150,2190,2175,2150,2197,2195,2200,2200,2200,2190,2200,2200,2200,2200,2200,2200,2200,2260,2275,2250,2265,2250,2250,2250,2250,2295,2295,2200,2150,2150,2200,2200,2175,2195,2200,2200,2250,2200,2200,2150,2200,2200,2200,2195,2150,2150,2150,2150,2175,2180,2150,2195,2190,2200,2250,2250,2050
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,1145,1095,995,962.5,1024.5,975,1147.5,1100,990,895,850,850,850,852,918.5,925,902.5,895,895,900,950,925,925,944,950,1010,1025,1025,1065,1050,995,1095,1050,1050,930,1000,1068,1050,999,1025,1095,1118,1195,1295,1245,1200,1200,1295,1275,1295,1295,1300,1295,1355,1370,1372.5,1355.5,1364.5,1350,1350,1400,1425,1500,1495,1558,1500,1603,1495,1509,1425,1489,1395
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1542,1370,1285,1327,1305,1200,1150,1353,1390,1436.5,1390,1340,1420,1275,1200,1212.5,1150,1150,1150,1204.5,1285,1353,1350
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1389,1372.5,1365,1372,1349,1383,1301.5,1247,1290,1309,1195,1195
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,850,900,995,950,950,925,925,900,900,950,931,950,990,995,1040,1047.5,1012.5,985,1025,1050,1095,950,975
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,695,662,669,684,690.5,679,688.5,680,690,707,690,698.5
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406.5,1565,1532.5,1550,1567,1425,1475,1530,1350,1485,1395,1395,1500
"Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,914.5,899,936.5,936.5,925,940,950,924,1006,1005,1010,965,985,1058,1026,1026,992.5,974,1035,965,962,967.5,990,1043,1041,1111,1105,1108,1090.5,1103.5,1125,1145,1082.5,1101.5,1076.5,1097,1120.5,1150,1089
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.5,2145,2115,2115,2173,2111,2188,2314,2365,2335,2335,2345,2365,2295,2330,2290,2185,2210,2265,2355,2037,2199,2058,2075,2040
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,637,637,645,629,700,680,700,680,755,700,700,719,741.5,745,747.5,735,735,736.5,780,796.5,745,745,738,700,741.5
